Nose,Neck,RShoulder,RElbow,RWrist,LShoulder,LElbow,LWrist,MidHip,RHip,RKnee,RAnkle,LHip,LKnee,LAnkle,REye,LEye,REar,LEar,LBigToe,LSmallToe,LHeel,RBigToe,RSmallToe,RHeel,Background
"0.211233, 1330.79, 227.199","0.743555, 1210.19, 315.276","0.711554, 297.841, 1263.12","0.77649, 474.392, 1333.76","1360.31, 0.629958, 362.527","0.615072, 1157.17, 318.407",0,0,"0.439299, 653.926, 1207.27","0.427353, 659.781, 1260.15","0.700936, 945.262, 1327.83",0,"0.406352, 650.975, 1151.35","0.765357, 907.09, 1189.69",0,"0.384964, 209.455, 1327.85",0,"0.7717, 1298.44, 215.396",0,0,0,0,0,0,0,
"0.187735, 227.205, 1324.92","312.462, 0.708265, 1210.04","0.708742, 1260.23, 300.697","0.815056, 1330.8, 477.263","0.749962, 353.688, 1354.42","0.59724, 1148.43, 318.354",0,0,"0.442353, 659.762, 1207.2","0.449131, 1257.31, 662.73","0.656767, 1324.97, 942.317",0,"0.409842, 1148.43, 653.909","0.772812, 907.051, 1189.6",0,"0.393742, 209.499, 1322.02",0,"0.802355, 1292.55, 215.338",0,0,0,0,0,0,0,
"224.233, 0.286953, 1310.36","312.42, 0.700961, 1204.28","0.731376, 297.789, 1260.16","0.827632, 1330.78, 477.272","0.780423, 1354.34, 350.712","0.650287, 1145.37, 318.32",0,0,"0.435343, 659.794, 1207.18","0.441028, 1257.35, 662.739","930.639, 0.658556, 1322.06",0,"656.826, 1148.38, 0.405318","0.763907, 906.936, 1189.52","0.0508722, 1074.9, 1166.12","0.521051, 203.668, 1310.32",0,"0.857555, 209.418, 1283.81",0,0,0,0,0,0,0,
"224.327, 1310.25, 0.162228","312.391, 1201.34, 0.69874","0.731678, 297.781, 1260.11","480.124, 0.844002, 1330.81","0.757225, 353.694, 1351.58","0.660778, 315.511, 1142.49",0,0,"0.433488, 665.662, 1207.24","0.427147, 665.629, 1260.3","0.667334, 945.223, 1324.93",0,"0.403569, 665.644, 1148.38","904.079, 0.739541, 1186.76","0.0971246, 1074.89, 1166.07","0.368601, 1307.47, 206.565",0,"0.84553, 1283.76, 212.397",0,0,0,0,0,0,0,
"1304.42, 224.121, 0.154518","0.703545, 1195.49, 303.694","0.758219, 1260.12, 294.71","0.793359, 1330.92, 477.26","0.709644, 350.773, 1351.58","0.656235, 315.425, 1139.55",0,0,"0.422791, 665.651, 1207.2","0.422176, 665.661, 1263.11","0.657596, 939.373, 1324.97",0,"0.411796, 1145.41, 662.734","0.778449, 1186.6, 907.024","0.0530823, 1074.9, 1166.14","1304.43, 203.654, 0.358948",0,"0.858642, 1283.64, 206.581","0.0531022, 218.305, 1210.18",0,0,0,0,0,0,
"1304.31, 224.118, 0.119687","0.701116, 300.687, 1198.39","0.739789, 291.882, 1260.19","0.776985, 474.405, 1348.51","0.708471, 353.661, 1354.33","0.662463, 315.313, 1139.56",0,0,"0.437238, 665.648, 1207.21","0.423082, 662.71, 1263.15","0.645831, 933.527, 1327.81",0,"0.435295, 1145.39, 662.751","0.782334, 1186.66, 906.926",0,"1304.37, 203.655, 0.349651",0,"1280.92, 0.877513, 206.585","0.0626897, 218.297, 1207.21",0,0,0,0,0,0,
"1304.46, 224.312, 0.125782","0.69527, 1198.42, 303.699","0.737472, 1266.09, 291.921","0.804974, 1354.43, 477.296","344.914, 0.674074, 1348.5","1136.55, 0.646848, 315.513",0,0,"680.395, 0.440605, 1210.23","0.395322, 677.47, 1271.99","1328, 0.682504, 936.484",0,"0.412302, 1154.25, 683.355","0.731785, 1186.64, 910.014",0,"1304.42, 209.469, 0.346569",0,"1280.9, 209.466, 0.861558","0.0611515, 218.345, 1204.31",0,0,0,0,0,0,
"1304.28, 224.141, 0.0827777","0.707703, 306.637, 1198.45","0.732871, 1269.03, 294.719","1360.27, 0.754177, 477.26","0.463556, 1330.78, 318.455","1136.55, 0.676048, 315.533",0,0,"0.46447, 1210.25, 671.59","0.432945, 1274.95, 671.52","0.640982, 939.367, 1333.76",0,"0.435608, 674.513, 1151.35","904.172, 0.786546, 1186.73","0.0886833, 1074.9, 1166.04","1304.35, 0.277316, 206.57",0,"1280.86, 209.516, 0.859536","0.0796844, 218.31, 1204.25",0,0,0,0,0,0,
"1304.39, 0.0903969, 221.319","0.733894, 309.473, 1207.16","1280.74, 0.749283, 294.738","480.136, 0.772503, 1371.95","0.348372, 338.897, 1339.64","0.673302, 1133.66, 318.354",0,0,"0.466138, 668.639, 1213.12","1280.85, 0.449302, 668.569","936.481, 0.635476, 1342.6",0,"0.437507, 668.652, 1151.34","0.772977, 1186.71, 906.945","0.068376, 1074.9, 1166.08","1304.38, 203.658, 0.266395",0,"1280.91, 209.495, 0.849638","0.0826595, 218.331, 1204.3",0,0,0,0,0,0,
"0.112096, 1307.2, 212.371","0.765843, 1210.17, 306.565","0.759706, 291.904, 1283.78","0.794795, 477.308, 1374.97","344.835, 0.426281, 1348.52","1136.54, 0.686658, 318.382",0,0,"0.430548, 665.671, 1221.93","0.433378, 662.716, 1286.72","0.718661, 1348.51, 933.506",0,"0.435697, 1163.01, 668.583","0.74195, 1186.74, 909.961",0,"1304.42, 0.321206, 200.551",0,"0.851998, 209.501, 1283.75","0.0897506, 218.256, 1210.15",0,0,0,0,0,0,
"0.0801896, 1307.31, 212.398","0.770329, 1210.28, 303.693","0.747766, 291.805, 1286.72","0.83056, 1377.88, 477.355","0.183464, 1348.53, 341.836","1136.57, 0.678569, 318.431","0.113895, 477.293, 1119.02",0,"1224.86, 665.637, 0.425055","656.823, 1289.67, 0.409956","0.680541, 942.3, 1351.31",0,"0.449045, 665.696, 1163.03","0.73816, 907.028, 1189.55",0,"0.254077, 1307.3, 197.813",0,"0.819024, 1289.65, 206.545","0.13171, 1201.39, 218.324",0,0,0,0,0,0,
