Nose,Neck,RShoulder,RElbow,RWrist,LShoulder,LElbow,LWrist,MidHip,RHip,RKnee,RAnkle,LHip,LKnee,LAnkle,REye,LEye,REar,LEar,LBigToe,LSmallToe,LHeel,RBigToe,RSmallToe,RHeel,Background
"432.44,129.708,0.94934","452,142.773,0.865772","427.196,142.709,0.796733","415.474,193.69,0.835107","408.946,164.923,0.728358","475.478,144.032,0.822778","482.005,201.478,0.814597","461.134,162.269,0.746813","450.694,252.329,0.688102","433.709,249.75,0.712891","429.803,321.498,0.756719","445.5,380.163,0.812743","465.066,253.656,0.702822","453.229,326.704,0.808867","465.103,402.389,0.702933","428.487,123.142,0.801771","436.329,121.874,0.870762","0,0,0","452.016,115.345,0.870176","444.139,427.179,0.750223","453.291,428.5,0.66599","474.227,411.523,0.709609","425.884,395.891,0.836408","427.181,391.949,0.813875","453.312,382.839,0.670677",
"432.447,130.968,0.92273","451.982,145.346,0.836841","425.92,144.052,0.775663","414.181,194.922,0.850169","408.954,167.516,0.719331","475.445,145.364,0.796009","478.084,202.727,0.842798","455.888,162.285,0.752467","451.99,252.328,0.705845","433.798,249.727,0.700871","431.084,324.097,0.754484","446.763,380.235,0.824473","465.081,253.668,0.70137","449.381,325.427,0.776323","465.12,402.396,0.732598","427.226,125.754,0.790891","436.352,123.175,0.851005","0,0,0","452.007,117.899,0.888173","444.137,428.516,0.792645","453.294,429.807,0.711983","475.449,410.239,0.790343","424.621,395.904,0.834746","425.92,391.951,0.813139","453.337,384.137,0.671901",
"432.471,130.98,0.929148","453.254,149.233,0.867089","429.81,147.921,0.768527","414.196,194.963,0.838443","410.196,167.523,0.723678","475.456,149.255,0.806201","478.092,204.025,0.82231","454.645,172.74,0.608985","453.235,248.419,0.722378","435.063,247.113,0.703326","431.122,320.19,0.762701","445.517,380.194,0.811292","465.106,251.031,0.684739","449.391,318.925,0.743897","465.124,401.117,0.71144","428.505,125.781,0.80869","437.642,123.189,0.834535","0,0,0","453.241,117.92,0.899867","444.213,428.48,0.700616","454.595,427.211,0.636958","475.431,408.903,0.717164","424.622,395.884,0.834685","427.177,391.943,0.811264","453.328,382.875,0.671145",
"432.351,130.999,0.903957","453.272,150.494,0.899087","429.798,149.271,0.772919","415.459,196.225,0.814364","410.195,166.214,0.731001","475.455,150.506,0.838459","479.381,204.097,0.84115","458.51,171.445,0.713069","453.239,251.029,0.715451","435.074,247.162,0.689048","432.387,320.24,0.755469","446.781,380.258,0.805135","466.329,253.645,0.702141","444.236,318.93,0.785487","465.113,401.062,0.732287","425.914,127.05,0.772049","433.767,125.768,0.891189","0,0,0","451.965,119.223,0.933091","444.171,428.481,0.744542","453.31,428.493,0.658832","475.442,405.043,0.743675","424.628,395.889,0.843273","427.184,391.955,0.811761","453.327,385.435,0.576508",
"428.525,132.294,0.856387","453.322,150.601,0.914363","432.353,150.607,0.816649","418.075,197.518,0.804702","411.48,166.234,0.792649","475.46,150.608,0.867113","482.016,206.662,0.819049","462.419,175.378,0.724456","453.324,249.753,0.743612","437.667,247.159,0.686181","432.422,320.217,0.742152","446.804,381.528,0.771749","467.648,253.62,0.69608","442.825,318.866,0.801319","468.943,401.108,0.621822","424.568,128.328,0.69152","432.468,127.093,0.918181","0,0,0","450.659,119.264,0.90805","444.188,428.494,0.760445","453.28,428.5,0.675513","476.807,402.457,0.687362","424.596,395.878,0.839405","425.914,391.967,0.81376","454.551,388.063,0.508286",
"427.199,131,0.884961","454.549,150.591,0.906706","433.732,150.57,0.83744","421.944,196.234,0.849708","411.595,168.814,0.803915","474.159,150.591,0.869032","483.283,206.668,0.831764","459.813,171.478,0.784479","454.596,249.725,0.748188","442.79,247.137,0.72292","432.395,320.195,0.784684","449.367,380.224,0.754055","467.659,252.357,0.696381","440.26,318.87,0.784679","463.703,384.16,0.520888","423.306,125.748,0.648219","432.404,124.473,0.914212","0,0,0","446.793,117.934,0.866624","440.268,390.679,0.0954658","442.894,391.993,0.139861","482.02,405.025,0.543211","424.583,395.87,0.820339","425.915,391.948,0.78283","454.622,385.43,0.475408",
"451.982,128.332,0.861448","472.828,150.535,0.846075","444.18,149.282,0.790279","424.606,193.606,0.75239","433.751,179.257,0.347654","497.677,150.57,0.808384","514.615,209.262,0.775652","493.725,180.559,0.582181","467.635,254.979,0.717921","453.27,254.915,0.732149","450.665,327.991,0.787368","466.399,380.234,0.809095","484.642,256.276,0.738272","474.176,328.044,0.819015","485.888,420.685,0.664489","445.465,120.523,0.858081","454.674,119.282,0.940098","0,0,0","474.127,115.305,0.879508","457.219,441.525,0.704849","465.024,442.825,0.705052","494.994,429.804,0.600812","449.398,401.048,0.864672","448.079,394.596,0.766046","475.448,384.148,0.599081",
"450.657,128.339,0.849577","470.267,150.555,0.85377","444.136,150.536,0.842776","429.784,193.676,0.836637","423.24,170.115,0.735559","496.329,150.567,0.84859","508.115,209.301,0.835589","495.01,181.868,0.800549","466.349,254.975,0.730085","453.229,254.907,0.698139","449.395,327.995,0.782597","466.398,380.225,0.819026","484.59,256.276,0.721108","474.139,328.031,0.821701","483.295,391.988,0.470218","444.231,120.522,0.830814","454.55,119.303,0.964401","0,0,0","472.852,112.734,0.865631","463.683,393.321,0.123609","0,0,0","485.9,393.33,0.288616","449.4,401.049,0.867898","448.076,394.596,0.767285","474.218,382.879,0.572033",
"448.062,127.064,0.833173","468.98,150.531,0.845084","444.14,150.515,0.860803","431.124,194.951,0.849203","424.59,171.438,0.809181","495.068,150.551,0.866053","506.751,207.974,0.887786","488.513,180.584,0.755779","465.053,254.931,0.747857","450.699,253.641,0.680478","450.694,326.695,0.752901","466.375,380.233,0.806474","483.288,254.978,0.7017","474.15,327.981,0.791891","480.712,390.661,0.379808","444.155,119.294,0.88942","453.304,119.255,0.963244","0,0,0","470.27,111.453,0.850832","462.412,393.272,0.110485","0,0,0","484.644,393.263,0.210092","448.104,401.037,0.846425","448.071,394.576,0.762412","474.207,384.151,0.54039",
"445.489,124.481,0.841848","466.376,149.239,0.850292","444.118,149.261,0.842058","432.475,194.937,0.889809","425.93,172.705,0.774334","492.441,149.208,0.797648","505.446,205.35,0.898841","484.594,179.241,0.78398","465.005,251.057,0.711172","450.656,248.431,0.650924","450.662,320.218,0.751722","466.359,380.201,0.8096","480.703,253.645,0.655754","472.887,325.412,0.76016","480.723,391.963,0.425817","444.112,119.263,0.778858","452.017,119.226,0.923758","0,0,0","466.379,111.403,0.883609","461.129,393.334,0.101516","0,0,0","484.624,394.614,0.254182","449.376,399.817,0.867624","448.066,394.571,0.778457","474.17,384.135,0.574195",
