Nose,Neck,RShoulder,RElbow,RWrist,LShoulder,LElbow,LWrist,MidHip,RHip,RKnee,RAnkle,LHip,LKnee,LAnkle,REye,LEye,REar,LEar,LBigToe,LSmallToe,LHeel,RBigToe,RSmallToe,RHeel,Background
"356.707,95.7443,0.76379","339.8,131.005,0.765054","312.387,129.648,0.604717","300.644,170.13,0.11875","328.022,130.989,0.155658","369.757,133.606,0.702632","386.759,171.422,0.114364","0,0,0","338.468,224.944,0.639509","318.897,224.933,0.633786","317.602,307.094,0.80171","307.204,381.552,0.800389","357.994,224.973,0.58465","359.371,300.618,0.804433","350.207,369.731,0.856082","350.171,87.8925,0.920029","359.296,87.9321,0.563427","333.226,87.8554,0.81257","0,0,0","368.488,380.233,0.698288","369.753,377.581,0.692969","344.993,373.702,0.724352","313.692,399.792,0.747847","305.836,398.47,0.696692","307.176,386.768,0.584807",
"412.93,120.614,0.822566","459.822,144.054,0.783023","497.701,142.782,0.750747","0,0,0","0,0,0","421.939,146.629,0.738477","391.983,180.591,0.0602039","0,0,0","480.716,299.33,0.480878","505.456,297.999,0.444769","504.208,410.218,0.767737","535.471,476.837,0.146131","455.9,303.218,0.469129","401.153,398.484,0.696338","395.881,476.834,0.0897158","0,0,0","412.896,111.435,0.870948","0,0,0","432.361,108.751,0.919007","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0",
"411.465,121.87,0.727733","453.259,147.957,0.799214","493.758,146.647,0.717154","0,0,0","0,0,0","412.831,149.272,0.756231","345.005,192.311,0.870063","309.739,171.496,0.776654","476.794,303.247,0.485758","502.865,299.316,0.398115","497.68,411.572,0.785581","534.195,476.837,0.126618","454.567,305.862,0.481334","401.115,402.394,0.712971","393.28,476.837,0.0758307","0,0,0","411.474,114.021,0.797528","0,0,0","425.908,108.782,0.871005","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0",
"402.402,120.511,0.830893","445.464,144.049,0.799864","485.913,145.349,0.712117","504.169,214.479,0.0783328","0,0,0","408.926,145.356,0.685298","343.707,194.932,0.831502","314.95,162.338,0.778394","474.131,305.859,0.500775","495.085,305.832,0.43091","496.334,411.567,0.819264","528.982,476.834,0.214784","451.971,307.152,0.478232","399.757,401.109,0.699653","393.272,476.837,0.0720789","0,0,0","402.431,110.174,0.88076","0,0,0","421.917,108.765,0.915064","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","534.204,476.838,0.0781984",
"355.434,97.0255,0.729567","338.408,132.298,0.699582","311.057,131.007,0.541469","309.785,171.46,0.26136","339.786,183.15,0.359001","363.287,133.602,0.648281","380.225,170.13,0.227422","0,0,0","333.232,226.262,0.579499","317.53,224.978,0.564215","317.557,307.184,0.78174","307.211,381.59,0.802126","350.217,227.561,0.612977","359.372,301.91,0.802128","350.195,369.736,0.858947","350.166,87.8984,0.879782","358.052,87.9614,0.413125","330.668,87.8934,0.736792","0,0,0","369.776,380.231,0.700691","369.769,376.327,0.687883","344.972,373.693,0.723457","313.681,399.808,0.76023","305.836,398.481,0.700832","307.195,388.055,0.598852",
"399.752,120.541,0.729281","444.124,142.715,0.776178","476.805,144.05,0.665846","0,0,0","0,0,0","411.503,141.381,0.770859","348.96,202.804,0.905555","330.651,161.011,0.697233","470.271,299.344,0.480328","489.849,298.019,0.391394","493.738,412.869,0.777092","527.721,476.836,0.167155","452.006,301.944,0.454205","398.463,408.928,0.624948","393.313,476.837,0.0520205","0,0,0","399.76,110.176,0.816335","0,0,0","412.924,107.484,0.876128","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","532.895,476.839,0.0559775",
"391.938,119.208,0.846841","438.952,140.179,0.769813","463.777,141.43,0.693343","431.124,193.619,0.0523282","0,0,0","412.865,138.825,0.785725","360.724,204.106,0.832516","350.28,161.046,0.679712","470.269,297.994,0.483144","488.544,295.383,0.414363","487.217,411.503,0.772957","528.982,476.833,0.238631","453.267,299.332,0.442028","399.753,411.54,0.574495","0,0,0","0,0,0","390.723,108.832,0.908773","0,0,0","408.934,103.613,0.840279","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","532.918,476.838,0.0949685",
"390.612,121.878,0.833467","436.349,140.172,0.700677","453.338,142.746,0.585217","442.851,210.583,0.0757805","0,0,0","420.686,138.794,0.747184","380.26,206.662,0.842142","371.045,172.795,0.750246","471.577,297.997,0.502076","487.249,296.709,0.446856","484.664,411.53,0.787812","527.719,476.832,0.284308","454.61,298.03,0.458728","399.816,411.553,0.62219","395.862,476.838,0.0665139","0,0,0","390.588,111.456,0.841959","0,0,0","403.714,104.912,0.845929","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","531.625,476.838,0.125079",
"390.623,125.78,0.832002","436.339,140.134,0.579451","444.194,140.121,0.413233","393.278,213.164,0.391824","356.743,194.969,0.426493","427.188,140.128,0.747412","398.504,202.705,0.725617","376.334,175.374,0.638309","468.979,299.31,0.49794","483.32,298.008,0.447619","485.934,412.871,0.769402","527.644,476.84,0.110602","458.503,300.625,0.4571","399.788,411.523,0.614526","397.191,476.837,0.0617173","0,0,0","389.323,115.347,0.81991","0,0,0","402.427,107.485,0.894526","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0",
"389.316,124.457,0.775625","433.705,141.48,0.598692","441.556,140.125,0.439502","0,0,0","0,0,0","427.219,144.065,0.654709","403.735,205.372,0.350592","361.962,201.419,0.252407","472.887,296.691,0.507002","485.904,294.111,0.439969","491.126,412.832,0.685965","530.318,476.836,0.176874","461.145,297.993,0.480833","401.052,405.014,0.655458","395.881,476.838,0.0646291","0,0,0","388.067,115.311,0.804093","0,0,0","402.454,108.752,0.894573","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","536.778,476.839,0.0721971",
"407.629,110.087,0.198723","451.974,140.131,0.837727","495.108,138.795,0.78546","504.183,198.835,0.412325","0,0,0","406.331,141.453,0.754173","358.066,222.282,0.79945","368.462,179.261,0.143475","457.237,307.135,0.445724","489.821,303.241,0.396263","500.293,419.369,0.63546","526.318,476.839,0.0662368","425.912,308.44,0.439487","384.16,410.202,0.681764","367.187,476.838,0.0923484","0,0,0","408.911,103.585,0.425115","451.99,98.317,0.116298","421.927,99.6447,0.908551","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0",
"403.754,110.142,0.079276","444.114,141.375,0.880236","491.137,140.077,0.74492","504.183,205.396,0.251082","0,0,0","401.039,142.729,0.757521","341.074,211.878,0.838456","339.819,170.122,0.661048","454.582,313.671,0.466827","484.641,311.073,0.415844","496.418,421.958,0.713192","0,0,0","424.612,313.676,0.447582","380.245,414.179,0.722335","364.556,476.839,0.0772931","0,0,0","408.918,107.451,0.25264","449.393,99.6682,0.203658","420.642,102.274,0.838376","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0",
"402.342,119.217,0.226736","441.523,144.064,0.791036","485.938,142.725,0.802212","501.573,222.298,0.573477","495.029,311.07,0.065057","393.258,149.222,0.710695","368.477,172.73,0.121854","0,0,0","451.953,314.985,0.420172","482.011,312.381,0.376641","495.043,423.27,0.74658","0,0,0","421.928,316.29,0.433443","373.717,416.765,0.709562","0,0,0","0,0,0","401.161,110.109,0.481654","444.17,100.969,0.148049","412.901,107.468,0.846478","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0",
